subjNo	 ER	 RT	 isLeft	 cohVec	 cohFac	 blocknum	 isDots
1	0	0.65346	0	2.5	0	2	1
1	1	1.0421	0	2.5	0	2	1
1	0	2.1705	1	2.5	0	2	1
1	0	1.1006	0	2.5	0	2	1
1	0	0.62987	0	2.5	0	2	1
1	0	1.8411	1	2.5	0	2	1
1	0	1.183	1	2.5	0	2	1
1	0	0.58326	0	2.5	0	2	1
1	1	0.95944	0	2.5	0	2	1
1	0	0.73551	1	2.5	0	2	1
1	0	0.74753	0	2.5	0	2	1
1	0	0.98323	1	2.5	0	2	1
1	0	0.91233	0	2.5	0	2	1
1	0	0.7121	1	2.5	0	2	1
1	1	0.75897	1	2.5	0	2	1
1	1	0.7006	1	2.5	0	2	1
1	0	2.2767	0	2.5	0	2	1
1	0	0.65321	0	2.5	0	2	1
1	0	1.0419	1	2.5	0	2	1
1	0	0.70231	1	6	1	3	1
1	0	0.64177	1	6	1	3	1
1	0	0.78309	0	6	1	3	1
1	0	0.55893	1	6	1	3	1
1	0	0.95908	1	6	1	3	1
1	0	0.54788	1	6	1	3	1
1	0	0.60624	0	6	1	3	1
1	0	0.51246	1	6	1	3	1
1	0	0.54726	1	6	1	3	1
1	0	0.52427	0	6	1	3	1
1	0	0.53584	0	6	1	3	1
1	0	0.71206	1	6	1	3	1
1	0	0.64196	0	6	1	3	1
1	0	0.59412	0	6	1	3	1
1	1	1.1707	0	6	1	3	1
1	0	0.58259	1	6	1	3	1
1	0	0.5945	0	6	1	3	1
1	1	0.57056	1	6	1	3	1
1	0	0.7715	0	6	1	3	1
1	0	0.61855	1	6	1	3	1
1	0	1.242	1	6	1	3	1
1	0	0.56675	1	6	1	3	1
1	1	1.4888	0	6	1	3	1
1	0	0.65338	0	6	1	3	1
1	0	1.6767	0	6	1	3	1
1	0	0.54756	1	6	1	3	1
1	0	0.75915	0	6	1	3	1
1	0	0.64137	1	6	1	3	1
1	0	0.59435	0	6	1	3	1
1	1	0.91188	0	6	1	3	1
1	0	1.4291	0	6	1	3	1
1	0	0.58322	1	6	1	3	1
1	1	0.94793	1	6	1	3	1
1	0	0.9825	0	6	1	3	1
1	0	1.0061	0	6	1	3	1
1	0	0.70072	0	6	1	3	1
1	0	0.97058	0	6	1	3	1
1	0	0.61816	0	6	1	3	1
1	0	1.9006	1	6	1	3	1
1	0	0.33321	1	2.5	0	4	0
1	0	0.34139	0	2.5	0	4	0
1	0	0.41391	0	2.5	0	4	0
1	0	0.30966	1	2.5	0	4	0
1	0	0.42961	1	2.5	0	4	0
1	0	0.32478	1	2.5	0	4	0
1	0	0.34789	1	2.5	0	4	0
1	0	0.33131	1	2.5	0	4	0
1	1	0.40555	0	2.5	0	4	0
1	0	0.3977	0	2.5	0	4	0
1	0	0.3815	1	2.5	0	4	0
1	0	0.33046	1	2.5	0	4	0
1	0	0.3878	0	2.5	0	4	0
1	0	0.36523	0	2.5	0	4	0
1	0	0.39015	0	2.5	0	4	0
1	0	0.33205	0	2.5	0	4	0
1	0	0.39021	1	2.5	0	4	0
1	0	0.31773	1	2.5	0	4	0
1	0	0.36489	0	2.5	0	4	0
1	1	0.34797	1	2.5	0	4	0
1	0	0.39781	1	2.5	0	4	0
1	0	0.38086	0	2.5	0	4	0
1	0	0.48568	1	2.5	0	4	0
